nth vaddr       bind type lib                                  name
64  0x1400ad260 NONE FUNC KERNEL32.dll                         Sleep
65  0x1400ad268 NONE FUNC KERNEL32.dll                         GetCurrentProcess
66  0x1400ad270 NONE FUNC KERNEL32.dll                         UnhandledExceptionFilter
67  0x1400ad278 NONE FUNC KERNEL32.dll                         SetUnhandledExceptionFilter
68  0x1400ad280 NONE FUNC KERNEL32.dll                         GetFileSizeEx
1   0x1400ad040 NONE FUNC IMM32.dll                            ImmReleaseContext
2   0x1400ad048 NONE FUNC IMM32.dll                            ImmGetContext
3   0x1400ad050 NONE FUNC IMM32.dll                            ImmSetCandidateWindow
4   0x1400ad058 NONE FUNC IMM32.dll                            ImmSetCompositionWindow
1   0x1400ad030 NONE FUNC GDI32.dll                            GetDeviceCaps
1   0x1400ad020 NONE FUNC D3DCOMPILER_47.dll                   D3DCompile
1   0x1400ad750 NONE FUNC VCRUNTIME140.dll                     __std_exception_destroy
2   0x1400ad758 NONE FUNC VCRUNTIME140.dll                     __current_exception_context
3   0x1400ad760 NONE FUNC VCRUNTIME140.dll                     __current_exception
4   0x1400ad768 NONE FUNC VCRUNTIME140.dll                     __C_specific_handler
5   0x1400ad770 NONE FUNC VCRUNTIME140.dll                     memmove
6   0x1400ad778 NONE FUNC VCRUNTIME140.dll                     memcmp
7   0x1400ad780 NONE FUNC VCRUNTIME140.dll                     memchr
8   0x1400ad788 NONE FUNC VCRUNTIME140.dll                     _CxxThrowException
9   0x1400ad790 NONE FUNC VCRUNTIME140.dll                     __std_exception_copy
10  0x1400ad798 NONE FUNC VCRUNTIME140.dll                     strchr
11  0x1400ad7a0 NONE FUNC VCRUNTIME140.dll                     __std_terminate
12  0x1400ad7a8 NONE FUNC VCRUNTIME140.dll                     memset
13  0x1400ad7b0 NONE FUNC VCRUNTIME140.dll                     memcpy
1   0x1400ad7c0 NONE FUNC VCRUNTIME140_1.dll                   __CxxFrameHandler4
1   0x1400ad8c0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _configure_narrow_argv
2   0x1400ad8c8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _get_initial_narrow_environment
3   0x1400ad8d0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _set_app_type
4   0x1400ad8d8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _seh_filter_exe
5   0x1400ad8e0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    abort
6   0x1400ad8e8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initterm
7   0x1400ad8f0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _wassert
8   0x1400ad8f8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initialize_narrow_environment
9   0x1400ad900 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initterm_e
10  0x1400ad908 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _crt_atexit
11  0x1400ad910 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _register_onexit_function
12  0x1400ad918 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    exit
13  0x1400ad920 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initialize_onexit_table
14  0x1400ad928 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _invoke_watson
15  0x1400ad930 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _exit
16  0x1400ad938 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    __p___argc
17  0x1400ad940 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _register_thread_local_exe_atexit_callback
18  0x1400ad948 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    __p___argv
19  0x1400ad950 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _cexit
20  0x1400ad958 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _c_exit
21  0x1400ad960 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    terminate
1   0x1400ada38 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strcmp
2   0x1400ada40 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strcpy
3   0x1400ada48 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     _stricmp
4   0x1400ada50 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strncmp
5   0x1400ada58 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     tolower
6   0x1400ada60 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strncpy
7   0x1400ada68 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     wcslen
8   0x1400ada70 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strlen
1   0x1400ad970 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __acrt_iob_func
2   0x1400ad978 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fopen
3   0x1400ad980 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fread
4   0x1400ad988 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _wfopen
5   0x1400ad990 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __stdio_common_vfprintf
6   0x1400ad998 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __stdio_common_vsprintf
7   0x1400ad9a0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __p__commode
